id,title,vote_count,vote_average,year
862,Toy Story,5415.0,7.7,1995
8844,Jumanji,2413.0,6.9,1995
15602,Grumpier Old Men,92.0,6.5,1995
31357,Waiting to Exhale,34.0,6.1,1995
11862,Father of the Bride Part II,173.0,5.7,1995
949,Heat,1886.0,7.7,1995
11860,Sabrina,141.0,6.2,1995
45325,Tom and Huck,45.0,5.4,1995
9091,Sudden Death,174.0,5.5,1995
710,GoldenEye,1194.0,6.6,1995
9087,The American President,199.0,6.5,1995
12110,Dracula: Dead and Loving It,210.0,5.7,1995
21032,Balto,423.0,7.1,1995
10858,Nixon,72.0,7.1,1995
1408,Cutthroat Island,137.0,5.7,1995
524,Casino,1343.0,7.8,1995
4584,Sense and Sensibility,364.0,7.2,1995
5,Four Rooms,539.0,6.5,1995
9273,Ace Ventura: When Nature Calls,1128.0,6.1,1995
11517,Money Train,224.0,5.4,1995
8012,Get Shorty,305.0,6.4,1995
1710,Copycat,199.0,6.5,1995
9691,Assassins,394.0,6.0,1995
12665,Powder,143.0,6.3,1995
451,Leaving Las Vegas,365.0,7.1,1995
16420,Othello,33.0,7.0,1995
9263,Now and Then,91.0,6.6,1995
17015,Persuasion,36.0,7.4,1995
902,The City of Lost Children,308.0,7.6,1995
37557,Shanghai Triad,17.0,6.5,1995
9909,Dangerous Minds,249.0,6.4,1995
63,Twelve Monkeys,2470.0,7.4,1995
78802,Wings of Courage,4.0,6.8,1996
9598,Babe,756.0,6.0,1995
47018,Carrington,16.0,6.4,1995
687,Dead Man Walking,350.0,7.3,1995
139405,Across the Sea of Time,2.0,3.5,1995
33689,It Takes Two,149.0,6.1,1995
9603,Clueless,828.0,6.9,1995
34615,"Cry, the Beloved Country",13.0,6.7,1995
31174,Richard III,50.0,6.9,1995
11443,Dead Presidents,80.0,6.6,1995
35196,Restoration,30.0,6.3,1995
9312,Mortal Kombat,452.0,5.4,1995
577,To Die For,177.0,6.7,1995
11861,How To Make An American Quilt,38.0,6.5,1995
